Date,Spinach Price,Volume
22/06/2019,3.13,71
21/06/2019,3.13,94
20/06/2019,3.25,85
19/06/2019,3.25,80
18/06/2019,2.75,69
17/06/2019,3.13,20
16/06/2019,3.19,97
15/06/2019,3.25,87
14/06/2019,3.63,78
13/06/2019,3.25,50
12/6/2019,3.75,65
11/6/2019,3.25,67
10/6/2019,2.75,30
9/6/2019,2.48,75
8/6/2019,2.25,80
7/6/2019,2.38,71
6/6/2019,2.63,74
5/6/2019,2.75,72
4/6/2019,2.75,76
3/6/2019,3.25,41
2/6/2019,2.56,98
1/6/2019,1.88,103
31/05/2019,2.25,51
30/05/2019,2.25,101
29/05/2019,2.75,50
28/05/2019,2.13,72
27/05/2019,2.13,43
26/05/2019,2.19,111
25/05/2019,2.25,85
24/05/2019,2.38,95
23/05/2019,2.25,53
22/05/2019,2.25,53
21/05/2019,2.13,93
20/05/2019,2.13,57
19/05/2019,2.25,88
18/05/2019,2.38,102
17/05/2019,2.13,118
16/05/2019,2.75,81
15/05/2019,4.38,99
14/05/2019,5.5,38
13/05/2019,3.38,33
12/5/2019,2.63,51
11/5/2019,1.88,36
10/5/2019,1.75,93
9/5/2019,2.75,90
8/5/2019,3,92
7/5/2019,3.63,78
6/5/2019,3.75,20
5/5/2019,3.75,91
4/5/2019,3.75,84
3/5/2019,4.38,61
2/5/2019,5.25,18
1/5/2019,3.5,93
30/04/2019,4.63,60
29/04/2019,4.38,30
28/04/2019,3.88,111
27/04/2019,3.38,87
26/04/2019,2.63,93
25/04/2019,3.5,71
24/04/2019,5.5,96
23/04/2019,5.63,85
22/04/2019,6.25,33
21/04/2019,3.25,39
20/04/2019,3.25,63
19/04/2019,3.7,29
18/04/2019,3.7,95
17/04/2019,3.75,88
16/04/2019,3.25,66
15/04/2019,3.75,58
14/04/2019,3.83,96
13/04/2019,3.75,97
12/4/2019,3.75,108
11/4/2019,3.13,81
10/4/2019,2.75,98
9/4/2019,2.75,97
8/4/2019,3.25,36
